,item,condition,attraction,violation,model,model_type,model_arch,surp,target_attn,dist_attn,attn_entropy
173,6,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,9.977086305618286,0.024613988,0.20316212,1.694027
174,6,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,9.977086305618286,0.10735356,0.045309328,1.4309571
175,6,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,9.977086305618286,0.07390142,0.5872749,1.3507633
176,6,e,none,double,gpt2_4_3,gpt2,gpt2,11.400875091552734,0.3639492,0.19620788,1.344459
177,6,e,none,double,gpt2_3_6,gpt2,gpt2,11.400875091552734,0.053135604,0.1411816,1.8042283
178,6,e,none,double,gpt2_6_0,gpt2,gpt2,11.400875091552734,0.14916727,0.18137838,1.9324539
179,6,e,none,double,gpt2_2_9,gpt2,gpt2,11.400875091552734,0.10536742,0.32911497,1.8016446
180,6,h,grammatical,double,gpt2_4_3,gpt2,gpt2,11.554227828979492,0.32353798,0.44558716,1.2784669
181,6,h,grammatical,double,gpt2_3_6,gpt2,gpt2,11.554227828979492,0.050473254,0.17908236,1.7506368
182,6,h,grammatical,double,gpt2_6_0,gpt2,gpt2,11.554227828979492,0.11221954,0.15783148,1.9049387
183,6,h,grammatical,double,gpt2_2_9,gpt2,gpt2,11.554227828979492,0.08790808,0.4457638,1.6538507
184,6,g,semantic,double,gpt2_4_3,gpt2,gpt2,10.506168365478516,0.37725952,0.101785414,1.3945473
185,6,g,semantic,double,gpt2_3_6,gpt2,gpt2,10.506168365478516,0.03368386,0.23531824,1.7221305
186,6,g,semantic,double,gpt2_6_0,gpt2,gpt2,10.506168365478516,0.12095593,0.11742896,1.8741381
187,6,g,semantic,double,gpt2_2_9,gpt2,gpt2,10.506168365478516,0.052780483,0.591663,1.3668213
188,6,f,double,double,gpt2_4_3,gpt2,gpt2,10.075315475463867,0.5773367,0.11132283,1.3562635
189,6,f,double,double,gpt2_3_6,gpt2,gpt2,10.075315475463867,0.043191586,0.15066335,1.8732225
190,6,f,double,double,gpt2_6_0,gpt2,gpt2,10.075315475463867,0.11390734,0.19368891,2.1065228
191,6,f,double,double,gpt2_2_9,gpt2,gpt2,10.075315475463867,0.031950142,0.6655406,1.7534044
192,7,a,none,grammatical,gpt2_4_3,gpt2,gpt2,11.615154266357422,0.38399807,0.030922886,1.1201816
193,7,a,none,grammatical,gpt2_3_6,gpt2,gpt2,11.615154266357422,0.081004374,0.24824104,1.8083999
194,7,a,none,grammatical,gpt2_6_0,gpt2,gpt2,11.615154266357422,0.04716912,0.040106792,1.7757096
195,7,a,none,grammatical,gpt2_2_9,gpt2,gpt2,11.615154266357422,0.034803413,0.59378797,1.3922336
196,7,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,11.132527351379395,0.4106589,0.11036172,1.2406232
197,7,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,11.132527351379395,0.07453633,0.27569965,1.765999
198,7,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,11.132527351379395,0.0491164,0.102108955,1.8379738
199,7,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,11.132527351379395,0.03171622,0.61116225,1.3429
200,7,c,none,semantic,gpt2_4_3,gpt2,gpt2,6.530750274658203,0.8340101,0.00830323,0.619028
201,7,c,none,semantic,gpt2_3_6,gpt2,gpt2,6.530750274658203,0.05318293,0.0620999,1.5599784
202,7,c,none,semantic,gpt2_6_0,gpt2,gpt2,6.530750274658203,0.21202846,0.020806821,1.8228108
203,7,c,none,semantic,gpt2_2_9,gpt2,gpt2,6.530750274658203,0.035732668,0.52648497,1.5127856
204,7,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,4.31623649597168,0.7585435,0.009576011,0.8312989
205,7,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,4.31623649597168,0.056513138,0.107496016,1.714927
206,7,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,4.31623649597168,0.21453631,0.070835665,1.9334446
207,7,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,4.31623649597168,0.04674902,0.3780268,1.7606976
208,7,e,none,double,gpt2_4_3,gpt2,gpt2,9.340470314025879,0.4171822,0.022749892,1.1135464
209,7,e,none,double,gpt2_3_6,gpt2,gpt2,9.340470314025879,0.04818383,0.071760975,1.5421592
210,7,e,none,double,gpt2_6_0,gpt2,gpt2,9.340470314025879,0.1755556,0.018477635,1.7587637
211,7,e,none,double,gpt2_2_9,gpt2,gpt2,9.340470314025879,0.041137785,0.4931001,1.4913228
212,7,h,grammatical,double,gpt2_4_3,gpt2,gpt2,8.48246955871582,0.44382206,0.12511894,1.2914593
213,7,h,grammatical,double,gpt2_3_6,gpt2,gpt2,8.48246955871582,0.037378315,0.090507776,1.538402
214,7,h,grammatical,double,gpt2_6_0,gpt2,gpt2,8.48246955871582,0.15698631,0.040901087,1.7825779
215,7,h,grammatical,double,gpt2_2_9,gpt2,gpt2,8.48246955871582,0.030776165,0.5973169,1.2960005
216,7,g,semantic,double,gpt2_4_3,gpt2,gpt2,7.545621871948242,0.3502683,0.017438874,1.1914668
217,7,g,semantic,double,gpt2_3_6,gpt2,gpt2,7.545621871948242,0.046211928,0.1250639,1.7101908
218,7,g,semantic,double,gpt2_6_0,gpt2,gpt2,7.545621871948242,0.16472177,0.06630611,1.987336
219,7,g,semantic,double,gpt2_2_9,gpt2,gpt2,7.545621871948242,0.039512616,0.3697318,1.7553847
220,7,f,double,double,gpt2_4_3,gpt2,gpt2,5.6982622146606445,0.3430379,0.13936323,1.4658228
221,7,f,double,double,gpt2_3_6,gpt2,gpt2,5.6982622146606445,0.0359467,0.18653186,1.6971728
222,7,f,double,double,gpt2_6_0,gpt2,gpt2,5.6982622146606445,0.1934145,0.15197888,1.9952669
223,7,f,double,double,gpt2_2_9,gpt2,gpt2,5.6982622146606445,0.027800478,0.5270878,1.504339
224,8,a,none,grammatical,gpt2_4_3,gpt2,gpt2,9.94599723815918,0.09627127,0.034400646,1.2671869
225,8,a,none,grammatical,gpt2_3_6,gpt2,gpt2,9.94599723815918,0.09988712,0.18006389,1.6971424
226,8,a,none,grammatical,gpt2_6_0,gpt2,gpt2,9.94599723815918,0.046636693,0.058276,1.534133
227,8,a,none,grammatical,gpt2_2_9,gpt2,gpt2,9.94599723815918,0.04214064,0.663087,1.1616476
228,8,b,grammatical,grammatical,gpt2_4_3,gpt2,gpt2,8.455309867858887,0.09979722,0.14265832,1.4084271
229,8,b,grammatical,grammatical,gpt2_3_6,gpt2,gpt2,8.455309867858887,0.09134427,0.2129989,1.8726892
230,8,b,grammatical,grammatical,gpt2_6_0,gpt2,gpt2,8.455309867858887,0.031188874,0.17158788,1.6716981
231,8,b,grammatical,grammatical,gpt2_2_9,gpt2,gpt2,8.455309867858887,0.039368786,0.54841506,1.7829553
232,8,c,none,semantic,gpt2_4_3,gpt2,gpt2,14.588166739791632,0.05401802,0.428375,1.4998164
233,8,c,none,semantic,gpt2_3_6,gpt2,gpt2,14.588166739791632,0.06829076,0.3183821,1.6180396
234,8,c,none,semantic,gpt2_6_0,gpt2,gpt2,14.588166739791632,0.045687545,0.18485644,1.5174525
235,8,c,none,semantic,gpt2_2_9,gpt2,gpt2,14.588166739791632,0.0656425,0.49046454,1.4912066
236,8,d,semantic,semantic,gpt2_4_3,gpt2,gpt2,14.517936013638973,0.076069236,0.23959956,1.6176718
237,8,d,semantic,semantic,gpt2_3_6,gpt2,gpt2,14.517936013638973,0.07201215,0.3357622,1.5807588
238,8,d,semantic,semantic,gpt2_6_0,gpt2,gpt2,14.517936013638973,0.04547329,0.174993,1.5264294
239,8,d,semantic,semantic,gpt2_2_9,gpt2,gpt2,14.517936013638973,0.070764,0.45982924,1.5419917
